  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 2s
 ✓ Compiled /api/realtime in 419ms (272 modules)
 GET /api/realtime 200 in 30804ms
 GET /api/realtime 200 in 30207ms
 GET /api/realtime 200 in 30245ms
 GET /api/realtime 200 in 30195ms
 GET /api/realtime 200 in 30193ms
 GET /api/realtime 200 in 30210ms
 GET /api/realtime 200 in 30221ms
 GET /api/realtime 200 in 30218ms
 GET /api/realtime 200 in 30203ms
 GET /api/realtime 200 in 30243ms
 GET /api/realtime 200 in 30205ms
 GET /api/realtime 200 in 30229ms
 GET /api/realtime 200 in 30210ms
 GET /api/realtime 200 in 30209ms
 GET /api/realtime 200 in 30201ms
 GET /api/realtime 200 in 30226ms
 GET /api/realtime 200 in 30216ms
 GET /api/realtime 200 in 30204ms
 GET /api/realtime 200 in 30188ms
 GET /api/realtime 200 in 30187ms
 GET /api/realtime 200 in 30200ms
 GET /api/realtime 200 in 30208ms
 GET /api/realtime 200 in 30203ms
 GET /api/realtime 200 in 30206ms
 GET /api/realtime 200 in 30219ms
 GET /api/realtime 200 in 30189ms
 GET /api/realtime 200 in 30202ms
 GET /api/realtime 200 in 30277ms
 ✓ Compiled in 206ms (272 modules)
 GET /api/realtime 200 in 30209ms
 GET /api/realtime 200 in 30279ms
 GET /api/realtime 200 in 30217ms
 GET /api/realtime 200 in 30202ms
 GET /api/realtime 200 in 30216ms
 GET /api/realtime 200 in 30219ms
 GET /api/realtime 200 in 30191ms
 GET /api/realtime 200 in 30187ms
 GET /api/realtime 200 in 30205ms
 GET /api/realtime 200 in 30199ms
 GET /api/realtime 200 in 30192ms
 GET /api/realtime 200 in 30203ms
 GET /api/realtime 200 in 30217ms
 GET /api/realtime 200 in 30209ms
 GET /api/realtime 200 in 30213ms
 GET /api/realtime 200 in 30201ms
 GET /api/realtime 200 in 30200ms
 GET /api/realtime 200 in 30211ms
