  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 1754ms
 ○ Compiling /api/realtime ...
 ✓ Compiled /api/realtime in 699ms (272 modules)
 GET /api/realtime 200 in 216ms
 GET /api/realtime 200 in 31095ms
 GET /api/realtime 200 in 30192ms
 GET /api/realtime 200 in 30210ms
 GET /api/realtime 200 in 30211ms
 GET /api/realtime 200 in 30207ms
 GET /api/realtime 200 in 30196ms
 GET /api/realtime 200 in 30202ms
 GET /api/realtime 200 in 30207ms
 GET /api/realtime 200 in 30196ms
 GET /api/realtime 200 in 30201ms
 GET /api/realtime 200 in 30186ms
 GET /api/realtime 200 in 30199ms
 GET /api/realtime 200 in 30207ms
 GET /api/realtime 200 in 30214ms
 GET /api/realtime 200 in 30207ms
 GET /api/realtime 200 in 30215ms
 GET /api/realtime 200 in 30209ms
 GET /api/realtime 200 in 30215ms
 GET /api/realtime 200 in 30212ms
 GET /api/realtime 200 in 30189ms
 GET /api/realtime 200 in 30207ms
 GET /api/realtime 200 in 30233ms
 GET /api/realtime 200 in 30202ms
 GET /api/realtime 200 in 30197ms
 GET /api/realtime 200 in 30188ms
 GET /api/realtime 200 in 30201ms
 GET /api/realtime 200 in 30198ms
 GET /api/realtime 200 in 30193ms
 GET /api/realtime 200 in 30197ms
 GET /api/realtime 200 in 30197ms
 GET /api/realtime 200 in 30224ms
 GET /api/realtime 200 in 30189ms
 GET /api/realtime 200 in 30188ms
 GET /api/realtime 200 in 30222ms
 ✓ Compiled in 110ms (272 modules)
 GET /api/realtime 200 in 30199ms
 GET /api/realtime 200 in 30206ms
 GET /api/realtime 200 in 30205ms
 GET /api/realtime 200 in 30193ms
 GET /api/realtime 200 in 30195ms
 GET /api/realtime 200 in 30191ms
 GET /api/realtime 200 in 30205ms
 GET /api/realtime 200 in 30195ms
 GET /api/realtime 200 in 30208ms
 GET /api/realtime 200 in 30204ms
