  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 1741ms
 ○ Compiling /api/realtime ...
 ✓ Compiled /api/realtime in 705ms (272 modules)
 GET /api/realtime 200 in 226ms
 GET /api/realtime 200 in 31086ms
 GET /api/realtime 200 in 30191ms
 GET /api/realtime 200 in 30223ms
 GET /api/realtime 200 in 30200ms
 GET /api/realtime 200 in 30185ms
 GET /api/realtime 200 in 30190ms
 GET /api/realtime 200 in 30197ms
 GET /api/realtime 200 in 30194ms
 GET /api/realtime 200 in 30196ms
 GET /api/realtime 200 in 30208ms
 GET /api/realtime 200 in 30193ms
 GET /api/realtime 200 in 30220ms
 GET /api/realtime 200 in 30196ms
 GET /api/realtime 200 in 30199ms
 GET /api/realtime 200 in 30201ms
 GET /api/realtime 200 in 30217ms
 GET /api/realtime 200 in 30224ms
 GET /api/realtime 200 in 30201ms
 GET /api/realtime 200 in 30198ms
 GET /api/realtime 200 in 30205ms
 GET /api/realtime 200 in 30193ms
 GET /api/realtime 200 in 30210ms
 GET /api/realtime 200 in 30195ms
 GET /api/realtime 200 in 30222ms
 GET /api/realtime 200 in 30197ms
 GET /api/realtime 200 in 30194ms
 GET /api/realtime 200 in 30209ms
 GET /api/realtime 200 in 30190ms
 GET /api/realtime 200 in 30192ms
 GET /api/realtime 200 in 30199ms
 GET /api/realtime 200 in 30193ms
 GET /api/realtime 200 in 30204ms
 GET /api/realtime 200 in 30193ms
 GET /api/realtime 200 in 30190ms
 GET /api/realtime 200 in 30198ms
 GET /api/realtime 200 in 30215ms
 GET /api/realtime 200 in 30189ms
 ✓ Compiled in 107ms (272 modules)
 GET /api/realtime 200 in 30229ms
 GET /api/realtime 200 in 30200ms
 GET /api/realtime 200 in 30197ms
 GET /api/realtime 200 in 30231ms
 GET /api/realtime 200 in 30213ms
 GET /api/realtime 200 in 30213ms
 GET /api/realtime 200 in 30195ms
