  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 2.1s
 ○ Compiling /api/realtime ...
 ✓ Compiled /api/realtime in 558ms (272 modules)
 GET /api/realtime 200 in 202ms
 GET /api/realtime 200 in 30198ms
 GET /api/realtime 200 in 30196ms
 GET /api/realtime 200 in 30202ms
 GET /api/realtime 200 in 30202ms
 GET /api/realtime 200 in 30203ms
 GET /api/realtime 200 in 30192ms
 GET /api/realtime 200 in 30204ms
 GET /api/realtime 200 in 30196ms
 GET /api/realtime 200 in 30202ms
 GET /api/realtime 200 in 30196ms
 GET /api/realtime 200 in 30190ms
 GET /api/realtime 200 in 30214ms
 GET /api/realtime 200 in 30221ms
 GET /api/realtime 200 in 30202ms
 GET /api/realtime 200 in 30200ms
 GET /api/realtime 200 in 30196ms
 GET /api/realtime 200 in 30196ms
 GET /api/realtime 200 in 30191ms
 GET /api/realtime 200 in 30206ms
 GET /api/realtime 200 in 30194ms
 GET /api/realtime 200 in 30199ms
 GET /api/realtime 200 in 30194ms
 GET /api/realtime 200 in 30202ms
 GET /api/realtime 200 in 30204ms
 GET /api/realtime 200 in 30198ms
 GET /api/realtime 200 in 30196ms
 GET /api/realtime 200 in 30197ms
 GET /api/realtime 200 in 30211ms
 GET /api/realtime 200 in 30200ms
 GET /api/realtime 200 in 30205ms
 GET /api/realtime 200 in 30204ms
 GET /api/realtime 200 in 30191ms
 GET /api/realtime 200 in 30202ms
 GET /api/realtime 200 in 30212ms
 GET /api/realtime 200 in 30202ms
 GET /api/realtime 200 in 30202ms
 GET /api/realtime 200 in 30193ms
 GET /api/realtime 200 in 30208ms
 GET /api/realtime 200 in 30217ms
 GET /api/realtime 200 in 30209ms
 GET /api/realtime 200 in 30199ms
 GET /api/realtime 200 in 30229ms
 ✓ Compiled in 202ms (272 modules)
 GET /api/realtime 200 in 30196ms
 GET /api/realtime 200 in 30193ms
