  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 1441ms
 ○ Compiling / ...
 ✓ Compiled / in 2.1s (596 modules)
 ✓ Compiled in 584ms (296 modules)
 GET / 200 in 2691ms
 GET / 200 in 81ms
 GET / 200 in 67ms
 GET / 200 in 82ms
 ✓ Compiled /api/auth/[...nextauth] in 399ms (541 modules)
 GET /api/auth/session 200 in 884ms
 GET /api/auth/session 200 in 76ms
 GET / 200 in 100ms
 GET /api/auth/session 200 in 63ms
 GET / 200 in 65ms
 GET /api/auth/session 200 in 65ms
 ○ Compiling /login ...
 ✓ Compiled /login in 621ms (871 modules)
 GET /api/auth/providers 200 in 82ms
 GET /api/auth/csrf 200 in 63ms
 POST /api/auth/callback/credentials 200 in 439ms
 GET /api/auth/session 200 in 65ms
 ✓ Compiled /middleware in 191ms (174 modules)
 ○ Compiling /dashboard ...
 ✓ Compiled /dashboard in 1488ms (2823 modules)
 GET /dashboard?_rsc=iqngu 200 in 106ms
 ✓ Compiled /api/realtime in 245ms (1574 modules)
 ✓ Compiled (1577 modules)
 GET /api/notifications?limit=10 200 in 604ms
 GET /api/realtime 200 in 111ms
 GET /api/notifications?limit=10 200 in 70ms
 GET /api/realtime 200 in 233ms
 GET /api/realtime 200 in 255ms
 GET /api/realtime 200 in 242ms
 GET / 200 in 102ms
 GET /api/realtime 200 in 249ms
 GET /api/realtime 200 in 225ms
 GET /api/realtime 200 in 236ms
 GET /api/realtime 200 in 234ms
 GET /api/realtime 200 in 230ms
 GET /api/realtime 200 in 211ms
 GET /api/realtime 200 in 336ms
 GET /api/realtime 200 in 246ms
 GET /api/realtime 200 in 266ms
 GET /api/realtime 200 in 238ms
 GET /api/realtime 200 in 306ms
 GET /api/realtime 200 in 249ms
 GET /api/realtime 200 in 250ms
 GET /api/realtime 200 in 300ms
 GET /api/realtime 200 in 339ms
 GET /api/realtime 200 in 313ms
