  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 2.4s
 ○ Compiling / ...
 ✓ Compiled / in 509ms (272 modules)
 ✓ Compiled in 2.3s (296 modules)
 GET /api/realtime 200 in 1469ms
 GET /api/realtime 200 in 1471ms
 GET /api/realtime 200 in 1476ms
 GET / 200 in 3867ms
 ✓ Compiled in 804ms (296 modules)
 GET /api/realtime 200 in 217ms
 GET /api/realtime 200 in 240ms
 GET /api/realtime 200 in 222ms
 GET /api/realtime 200 in 152ms
 GET /api/realtime 200 in 115ms
 GET /api/realtime 200 in 115ms
 GET /api/realtime 200 in 119ms
 GET /api/realtime 200 in 136ms
 GET /api/realtime 200 in 137ms
 GET /api/realtime 200 in 123ms
 GET /api/realtime 200 in 113ms
 GET /api/realtime 200 in 113ms
 GET /api/realtime 200 in 149ms
 GET /api/realtime 200 in 141ms
 GET /api/realtime 200 in 141ms
 GET /api/realtime 200 in 159ms
 GET /api/realtime 200 in 161ms
 GET /api/realtime 200 in 164ms
 GET /api/realtime 200 in 137ms
 GET /api/realtime 200 in 119ms
 GET /api/realtime 200 in 120ms
 GET /api/realtime 200 in 217ms
 GET /api/realtime 200 in 197ms
 GET /api/realtime 200 in 198ms
 GET /api/realtime 200 in 152ms
 GET /api/realtime 200 in 143ms
 GET /api/realtime 200 in 143ms
 GET /api/realtime 200 in 147ms
 GET /api/realtime 200 in 133ms
 GET /api/realtime 200 in 133ms
 GET /api/realtime 200 in 147ms
 GET /api/realtime 200 in 156ms
 GET /api/realtime 200 in 158ms
 GET /api/realtime 200 in 131ms
 GET /api/realtime 200 in 147ms
 GET /api/realtime 200 in 149ms
 GET /api/realtime 200 in 137ms
 GET /api/realtime 200 in 118ms
 GET /api/realtime 200 in 201ms
 GET /api/realtime 200 in 177ms
 GET /api/realtime 200 in 190ms
 GET /api/realtime 200 in 207ms
 GET /api/realtime 200 in 217ms
