  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 1667ms
 ✓ Compiled / in 392ms (272 modules)
 ✓ Compiled in 1859ms (296 modules)
 GET /api/realtime 200 in 2044ms
 GET /api/realtime 200 in 2043ms
 GET /api/realtime 200 in 2056ms
 GET / 200 in 3096ms
 ✓ Compiled in 726ms (296 modules)
 GET /api/realtime 200 in 180ms
 GET /api/realtime 200 in 237ms
 GET /api/realtime 200 in 211ms
 GET /api/realtime 200 in 146ms
 GET /api/realtime 200 in 130ms
 GET /api/realtime 200 in 208ms
 GET /api/realtime 200 in 156ms
 GET /api/realtime 200 in 185ms
 GET /api/realtime 200 in 171ms
 GET /api/realtime 200 in 170ms
 GET /api/realtime 200 in 158ms
 GET /api/realtime 200 in 154ms
 GET /api/realtime 200 in 163ms
 GET /api/realtime 200 in 164ms
 GET /api/realtime 200 in 155ms
 GET /api/realtime 200 in 157ms
 GET /api/realtime 200 in 145ms
 GET /api/realtime 200 in 183ms
 GET /api/realtime 200 in 169ms
 GET /api/realtime 200 in 171ms
 GET /api/realtime 200 in 140ms
 GET /api/realtime 200 in 161ms
 GET /api/realtime 200 in 148ms
 GET /api/realtime 200 in 164ms
 GET /api/realtime 200 in 160ms
 GET /api/realtime 200 in 190ms
 GET /api/realtime 200 in 184ms
 GET /api/realtime 200 in 192ms
 GET /api/realtime 200 in 179ms
 GET /api/realtime 200 in 158ms
 GET /api/realtime 200 in 169ms
 GET /api/realtime 200 in 186ms
 GET /api/realtime 200 in 195ms
 GET /api/realtime 200 in 159ms
 GET /api/realtime 200 in 145ms
 GET /api/realtime 200 in 159ms
 GET /api/realtime 200 in 151ms
 GET /api/realtime 200 in 164ms
 GET /api/realtime 200 in 141ms
 GET /api/realtime 200 in 157ms
 GET /api/realtime 200 in 198ms
 GET /api/realtime 200 in 143ms
 GET /api/realtime 200 in 176ms
 GET /api/realtime 200 in 132ms
