  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 2.1s
 ✓ Compiled /api/realtime in 396ms (272 modules)
 GET /api/realtime 200 in 329ms
 GET /api/realtime 200 in 361ms
 GET /api/realtime 200 in 360ms
 GET /api/realtime 200 in 127ms
 GET /api/realtime 200 in 111ms
 GET /api/realtime 200 in 111ms
 GET /api/realtime 200 in 94ms
 GET /api/realtime 200 in 139ms
 GET /api/realtime 200 in 140ms
 GET /api/realtime 200 in 149ms
 GET /api/realtime 200 in 180ms
 GET /api/realtime 200 in 180ms
 GET /api/realtime 200 in 166ms
 GET /api/realtime 200 in 175ms
 GET /api/realtime 200 in 183ms
 GET /api/realtime 200 in 173ms
 GET /api/realtime 200 in 224ms
 GET /api/realtime 200 in 258ms
 GET /api/realtime 200 in 250ms
 GET /api/realtime 200 in 160ms
 GET /api/realtime 200 in 152ms
 GET /api/realtime 200 in 167ms
 GET /api/realtime 200 in 147ms
 GET /api/realtime 200 in 156ms
 GET /api/realtime 200 in 148ms
 GET /api/realtime 200 in 151ms
 GET /api/realtime 200 in 150ms
 GET /api/realtime 200 in 149ms
 GET /api/realtime 200 in 180ms
 GET /api/realtime 200 in 157ms
 GET /api/realtime 200 in 143ms
 GET /api/realtime 200 in 144ms
 GET /api/realtime 200 in 134ms
 GET /api/realtime 200 in 96ms
 GET /api/realtime 200 in 171ms
 GET /api/realtime 200 in 171ms
 GET /api/realtime 200 in 172ms
 GET /api/realtime 200 in 210ms
 GET /api/realtime 200 in 219ms
 GET /api/realtime 200 in 170ms
 GET /api/realtime 200 in 127ms
 GET /api/realtime 200 in 152ms
 GET /api/realtime 200 in 142ms
 GET /api/realtime 200 in 152ms
 GET /api/realtime 200 in 156ms
 GET /api/realtime 200 in 189ms
 GET /api/realtime 200 in 183ms
 GET /api/realtime 200 in 196ms
 GET /api/realtime 200 in 181ms
 GET /api/realtime 200 in 181ms
