  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 2s
 ○ Compiling / ...
 ✓ Compiled / in 706ms (272 modules)
 ✓ Compiled in 2.1s (297 modules)
 GET /api/realtime 200 in 3034ms
 GET /api/realtime 200 in 857ms
 GET / 200 in 3675ms
 ✓ Compiled in 793ms (297 modules)
 GET /api/realtime 200 in 163ms
 GET /api/realtime 200 in 77ms
 GET /api/realtime 200 in 67ms
 GET /api/realtime 200 in 349ms
 GET /api/realtime 200 in 81ms
 GET /api/realtime 200 in 75ms
 GET /api/realtime 200 in 85ms
 GET /api/realtime 200 in 73ms
 GET /api/realtime 200 in 68ms
 GET /api/realtime 200 in 71ms
 GET /api/realtime 200 in 108ms
 GET /api/realtime 200 in 96ms
 GET /api/realtime 200 in 65ms
 GET /api/realtime 200 in 414ms
 GET /api/realtime 200 in 248ms
 GET /api/realtime 200 in 80ms
 GET /api/realtime 200 in 65ms
 GET /api/realtime 200 in 71ms
 GET /api/realtime 200 in 88ms
 GET /api/realtime 200 in 108ms
 GET /api/realtime 200 in 83ms
 GET /api/realtime 200 in 271ms
 GET /api/realtime 200 in 70ms
 GET /api/realtime 200 in 79ms
 GET /api/realtime 200 in 99ms
 GET /api/realtime 200 in 76ms
 GET /api/realtime 200 in 74ms
 GET /api/realtime 200 in 242ms
 GET /api/realtime 200 in 104ms
 GET /api/realtime 200 in 57ms
 GET /api/realtime 200 in 62ms
 GET /api/realtime 200 in 296ms
 GET /api/realtime 200 in 57ms
 GET /api/realtime 200 in 58ms
 GET /api/realtime 200 in 65ms
 GET /api/realtime 200 in 57ms
 GET /api/realtime 200 in 58ms
 GET /api/realtime 200 in 63ms
 GET /api/realtime 200 in 58ms
 GET /api/realtime 200 in 55ms
 GET /api/realtime 200 in 57ms
 GET /api/realtime 200 in 99ms
 GET /api/realtime 200 in 59ms
 GET /api/realtime 200 in 68ms
